bdrc_id,en,zh,bo,bo_unicode,gender,birth,death,teachers,students,tol
P609,Jamyang Namkha Döndrub Tsé Ten,,'jam dbyangs nam mkha' don grub tshe brtan,འཇམ་དབྱངས་ནམ་མཁའ་དོན་གྲུབ་ཚེ་བརྟན།,M,,,,P460,8669.0
P461,Sa Lo Kün Ga Sönam,,sa lo kun dga' bsod nams,ས་ལོ་ཀུན་དགའ་བསོད་ནམས།,M,1485.0,1533.0,P782|P4406|P9724|P1027|P1883|P1873|P5277|P856|P1035,P0RK22|P783|P0RK215|P460|P1871|P7532|P0RK1043,7064.0
P782,Lowo Khenchen Sönam Lhündrub,,glo bo mkhan chen bsod nams lhun grub,གློ་བོ་མཁན་ཆེན་བསོད་ནམས་ལྷུན་གྲུབ།,M,,,P1040|P1569|P1571|P1570|P1572|P1033|P1873|P1034|P3895,P461|P783|P2509|P1871|P0RK1184|P2387|P1699,10497.0
P1040,Kün Ga Wangchuk,,kun dga' dbang phyug,ཀུན་དགའ་དབང་ཕྱུག།,M,1424.0,1478.0,P1132|P1034|P4CZ75592,P782|P1042|P1027|P1873|P487|P3965,1963.0
P1132,Kün Ga Zangpo,,kun dga' bzang po,ཀུན་དགའ་བཟང་པོ།,M,1382.0,1456.0,P3296|P5645|P4404|P3094|P4921|P502|P3874,P396|P1569|P4571|P3516|P4754|P489|P920|P1040|P0RK550|P1042|P0RK640|P0RK442|P5811|P0RK546|P1037|P0RK547|P1027|P1038|P0RK548|P1028|P1033|P1034|P1035|P1036,2387.0
P3296,Drubchen Sangye Pal|Bud d+ha shri,,grub chen sangs rgyas dpal,གྲུབ་ཆེན་སངས་རྒྱས་དཔལ།,M,1339.0,1420.0,P0RK531|P151|P152|P3092|P502|P139|P1830|P1226|P2388,P7997|P1132,5626.0
P0RK531,Drakpuk Pa Kön Gyal,,brag phug pa dkon rgyal,བྲག་ཕུག་པ་དཀོན་རྒྱལ།,M,,,P3092,P3296|P502|P0RK539,1201.0
P3092,Drubchen Drakpuk Pa,,grub chen brag phug pa,གྲུབ་ཆེན་བྲག་ཕུག་པ།,M,1277.0,1350.0,P1062|P3903|P4019|P0RK569,P3296|P0RK531|P5724|P1226|P1865|P0RK792,5406.0
P1062,Shyang Tön Könchok Pal,,zhang ston dkon mchog dpal,ཞང་སྟོན་དཀོན་མཆོག་དཔལ།,M,,1307.0,P0RK123|P1048|P0RK1411,P0RK1770|P1048|P3092,2203.0
P0RK123,Pandita Dorjé Sherab,,paN+Di ta rdo rje shes rab,པཎྜི་ཏ་རྡོ་རྗེ་ཤེས་རབ།,M,,,P2138|P1048|P10624,P1062|P0RK543,503.0
P2138,Yak Dé Lotsawa Sönam Sengé,,g.yag sde lo tsA ba bsod nams seng+ge,གཡག་སྡེ་ལོ་ཙཱ་བ་བསོད་ནམས་སེངྒེ།,M,,,P0RK496|P3939|P3214|P0RK25|P1025,P0RK123|P2130|P1053|P3215,3810.0
P0RK496,Vibhuticandra,,bi bhu ta tsandra,བི་བྷུ་ཏ་ཙནདྲ།,M,,,P1518|P0RK1377,P2138|P0RK1378,1178.0
P1518,Khaché Penchen Shakya Shri,,kha che paN chen shAkya shrI,ཁ་ཆེ་པཎ་ཆེན་ཤཱཀྱ་ཤྲཱི།,M,1127.0,1225.0,P0RK829|P0RK11|P3121|P0RK952|P9953|P1310|P0RK1703|P0RK840|P3213,P4007|P2624|P0RK496|P4CZ15499|P8200|P5748|P3214|P1025|P133|P4CZ302229|P1514|P1AG8|P3939|P1AG4|P4CZ15088|P0RK1501|P0RK282|P1AG54|P3122|P0RK1373|P9955|P1244|P1056|P0RK25|P5298,2810.0
P0RK829,,,paNDi ta ma ti,པཎཌི་ཏ་མ་ཏི།,M,,,,P1518,1397.0
P0RK11,Jungné Bepa,,'byung gnas sbas pa,འབྱུང་གནས་སྦས་པ།,M,,,P4CZ10555|P0RK10,P3121|P1518,387.0
P4CZ10555,Lobpön Yenlak Mepé Dorjé|Anangavajra,,slob dpon yan lag med pa'i rdo rje,སློབ་དཔོན་ཡན་ལག་མེད་པའི་རྡོ་རྗེ།,,,,P0RK1036|P0RK532|P8895|P7752,P0RK11|P8335|P7752,
P0RK1036,Bi Lawa Benza|Vilavavajra,,bi la ba badzra,བི་ལ་བ་བཛྲ།,M,,,,P4CZ10555,333.0
P0RK532,Gawé Dorjé|Anandavajra,,dga' ba'i rdo rje,དགའ་བའི་རྡོ་རྗེ།,M,,,P8895,P4CZ10555,1202.0
P8895,Drilbu Pa|Ghantapada,,dril bu pa,དྲིལ་བུ་པ།,M,,,P0RK463|P0RK478|P3292|P4CZ15088|P0RK493,P3121|P4CZ10555|P0RK532|P0RK477|P4CZ10551|P0RK325,11651.0
P0RK463,Dhari Ka|Dharika,,dha ri ka,དྷ་རི་ཀ།,M,,,P0RK477|P8891,P44|P8895|P0RK516|P4024,1151.0
P0RK477,Deng Kipa,,Deng ki pa,ཌེང་ཀི་པ།,M,,,P47|P8895|P8891,P0RK463|P0RK466|P7752,1161.0
P47,Yeshe Khandroma Ni Gu Ma,,ye shes mkha' 'gro ma ni gu ma,ཡེ་ཤེས་མཁའ་འགྲོ་མ་ནི་གུ་མ།,F,,,P0RK1105|P4004|P0RK1529|P0RK581,P4004|P4CZ10568|P2636|P39|P0RK477|P0RK1318|P0RK514|P0RK239|P4CZ15088|P8891|P2778,7163.0
P0RK1105,Tsöndrü Dorjé Jikjé,,brtson 'grus rdo rje 'jigs byed,བརྩོན་འགྲུས་རྡོ་རྗེ་འཇིགས་བྱེད།,M,,,,P47,393.0
P4004,A bha ya ka ra gupta,,slob dpon a bhya ka ra sbas pa,སློབ་དཔོན་ཨ་བྷྱ་ཀ་ར་སྦས་པ།,M,,,P47|P4003|P0RK1673|P43|P00EGS1016642,P47|P4003|P3709|P43|P0RK833|P6453|P0RK1376|P0RK1673|P0RK155|P5169|P4CZ10579|P0RK412|P8224|P00EGS1016642|P3984|P0RK418|P3453,6402.0
P4003,,,shu bha ka ra gupta,ཤུ་བྷ་ཀ་ར་གུཔཏ།,M,,,P4004,P0RK1574|P4004|P3984|P1520,6401.0
P0RK1574,,,grub chen A nan da gup+ta,གྲུབ་ཆེན་ཨཱ་ནན་ད་གུཔྟ།,M,,,P4003,P0RK854,804.0
P0RK854,Chak Lo Drachom,,chag lo dgra bcom,ཆག་ལོ་དགྲ་བཅོམ།,M,,,P0RK1574|P4008,P0RK855|P1025,1419.0
P4008,Buddha shrī,,paN+Di ta bud d+ha shrI,པཎྜི་ཏ་བུད་དྷ་ཤྲཱི།,M,,,P0RK1379,P4007|P0RK1380|P0RK854,6406.0
P0RK1379,Ka Shen Ti Shri|Ksantishri,,ka shan ti shrI,ཀ་ཤན་ཏི་ཤྲཱི།,M,,,P0RK1378,P4008,633.0
P0RK1378,Go Dewa Shri,,go de ba shrI,གོ་དེ་བ་ཤྲཱི།,M,,,P0RK496,P0RK1379,632.0
P4007,Tro Pu Lotsawa Jampa Pal,,khro phu lo tsA ba byams pa dpal,ཁྲོ་ཕུ་ལོ་ཙཱ་བ་བྱམས་པ་དཔལ།,M,1173.0,1236.0,P4CZ15365|P1518|P4008|P7213|P7609|P2CZ7929,P1AG10|P4009|P7625|P0RK1678|P8510|P5298,6405.0
P4CZ15365,Buddhasribhdara,,paN+Di ta bud+d+ha shrI b+ha dra,པཎྜི་ཏ་བུདྡྷ་ཤྲཱི་བྷ་དྲ།,,,,,P4CZ15444|P4007,
P4CZ15444,Nub Lotsawa Tsultrim Sherab,,gnubs lo tsA ba tshul khrims shes rab,གནུབས་ལོ་ཙཱ་བ་ཚུལ་ཁྲིམས་ཤེས་རབ།,,,,P4CZ15365,,
P7213,Takpa Lharjé Jo Zang,,brtag pa lha rje jo bzang ,བརྟག་པ་ལྷ་རྗེ་ཇོ་བཟང་།,M,,,P7212,P4007,9866.0
P7212,Jé Puwa Pema Tashi,,'byed phu ba pad+ma bkra shis,འབྱེད་ཕུ་བ་པདྨ་བཀྲ་ཤིས།,M,,,P7211,P7213,9865.0
P7211,Chur Sönam Rinchen,,bcur bsod nams rin chen,བཅུར་བསོད་ནམས་རིན་ཆེན།,M,,,P7210,P7212,9864.0
P7210,Jo Tön Dorjé Tsemo,,jo ston rdo rje rtse mo,ཇོ་སྟོན་རྡོ་རྗེ་རྩེ་མོ།,M,,,P3709,P7211|P3597,9863.0
P3709,Zang Kar Lotsawa Pakpa Sherab,,zangs dkar lo tsA ba 'phags pa shes rab,ཟངས་དཀར་ལོ་ཙཱ་བ་འཕགས་པ་ཤེས་རབ།,M,,,P4004|P7216|P4CZ16849|P4CZ15186|P7230,P1844|P2273|P3446|P3597|P7210|P0RK1674|P0RK1643,6076.0
P7216,Khaché Gönpawa,,kha che dgon pa ba,ཁ་ཆེ་དགོན་པ་བ།,M,,,P0RK1650|P7217,P3709,9869.0
P0RK1650,,,grub chen bhram ze ka ra wa ti,གྲུབ་ཆེན་བྷྲམ་ཟེ་ཀ་ར་ཝ་ཏི།,M,,,P7218,P7216,857.0
P7218,Lobpön Dro Zang Nyingpo,,slob dpon 'gro bzang snying po,སློབ་དཔོན་འགྲོ་བཟང་སྙིང་པོ།,M,,,P0RK1639|P4CZ10559,P0RK1650|P7217,9871.0
P0RK1639,Ka Hana Pa,,ka ha na pa,ཀ་ཧ་ན་པ།,M,,,P0RK1638,P7218,850.0
P0RK1638,Dzo Gi Ka Marupa,,dzo gi ka ma ru pa,ཛོ་གི་ཀ་མ་རུ་པ།,M,,,P4954,P7084|P0RK1639,849.0
P4954,Lobpön Ludrub|Nāgārjuna,龙树,slob dpon klu sgrub,སློབ་དཔོན་ཀླུ་སྒྲུབ།,M,,,P6160|P0RK575|P0RK945|P0RK296,P0RK6|P0RK1638|P0RK1619|P0RK1163|P0RK252|P4CZ15358|P4CZ15237|P4CZ15577|P4CZ15454|P7149|P7401|P4CZ10516|P5782|P3277,7440.0
P6160,Drubchen Sara Ha|Saraha|The great brahmin,,grub chen sa ra ha,གྲུབ་ཆེན་ས་ར་ཧ།,M,,,P0RK575|P0RK238|P0RK239,P4954,8746.0
P0RK575,Sangwé Dakpo,,gsang ba'i bdag po,གསང་བའི་བདག་པོ།,M,,,P0RK1149,P6160|P0RK998|P4954|P2CN574|P0RK581,1227.0
P0RK1149,Dorjé Shyönnu,,rdo rje gzhon nu,རྡོ་རྗེ་གཞོན་ནུ།,M,,,P0RK76,P0RK575,432.0
P0RK76,Chöku Kuntuzangpo,,chos sku kun tu bzang po,ཆོས་སྐུ་ཀུན་ཏུ་བཟང་པོ།,M,,,,P0RK1135|P0RK77|P0RK1149|PORK|P0RK1190|P0RK1191|P0RK1192|P0RK783,1345.0
P0RK1135,Khandro Lé Kyi Wangmo Ché,,mkha' 'gro las kyi dbang mo che,མཁའ་འགྲོ་ལས་ཀྱི་དབང་མོ་ཆེ།,M,,,P0RK76|P0RK581,P0RK1136|P5263,421.0
P0RK581,Dorjé Chö,,rdo rje chos,རྡོ་རྗེ་ཆོས།,M,,,P0RK575,P0RK1135|P47,1230.0
P0RK1136,Trawa Ha Ti,,pra ba ha ti,པྲ་བ་ཧ་ཏི།,M,,,P0RK1135,P4956,422.0
P4956,Lobpön Pema Jungné|Padmasambhava,莲花生大士,slob dpon pad+ma 'byung gnas,སློབ་དཔོན་པདྨ་འབྱུང་གནས།,M,,,P0RK77|P0RK1136|P10718|P4CZ16819|P2JM19|P0RK894|P0RK1347|P2JM20,P6525|P0RK1217|P2JM106|P0RK1348|P6543|P6991|P0RK384|P7787|P7743|P2JM8|P00EGS1017620|P00EGS1017610|P5013|P3AG56|P3AG58|P00EGS1017608|P6986|P4236|P2JM167|P8182|P2885|P2JM5|P4CZ10564|P8205|P7695|P3AG55,7442.0
P0RK77,Longku Dorjé Sempa|Sambhogakaya vajrasattva,,longs sku rdo rje sems dpa',ལོངས་སྐུ་རྡོ་རྗེ་སེམས་དཔའ།,M,,,P0RK76,P0RK412|P0RK998|P4956,1354.0
P0RK412,Pemé Sung|Anupamaraksita,,dpe med bsrung ,དཔེ་མེད་བསྲུང་།,M,,,P0RK77|P4004,P00EGS1016642|P3217|P3213,1123.0
P00EGS1016642,Lobpön Rinchen Jungné Shyiwa|The complacent missionary་|Ratnakarasanti,,slob dpon rin chen 'byung gnas zhi ba,སློབ་དཔོན་རིན་ཆེན་འབྱུང་གནས་ཞི་བ།,,,,P0RK245|P4004|P0RK1263|P0RK412|P4CZ10554|P3208|P3833,P4004|P3834|P3211,23.0
P0RK245,Sa Drepa Chenpo|Gomishra,,sa 'dres pa chen po,ས་འདྲེས་པ་ཆེན་པོ།,M,,,P0RK303|P3299,P4CZ10578|P3293|P00EGS1016642|P3379|P0RK582,1016.0
P0RK303,Drimé Lodrö,,dri med blo gros,དྲི་མེད་བློ་གྲོས།,M,,,P0RK312|P3299,P0RK245|P0RK304,1051.0
P0RK312,Nakpo Shyab|Krsnapada,,nag po zhabs,ནག་པོ་ཞབས།,M,,,P3299,P0RK303,1058.0
P3299,Sharchok Nakpo Pa|The dark siddha|Krsnacarin,,shar phyogs nag po pa,ཤར་ཕྱོགས་ནག་པོ་པ།,,,,P0RK244|P4CZ15454|P4CZ15386|P4CZ10551|P3293|P0RK524|P7752|P7401|P0RK1503|P5782,P0RK245|P0RK267|P0RK464|P0RK1509|P0RK312|P0RK303|P4CZ15075|P5782|P0RK131|P0RK1532|P0RK1764|P3300,5628.0
P0RK244,Lobpé Dorjé|Shisyavajra,,slob pa'i rdo rje,སློབ་པའི་རྡོ་རྗེ།,M,,,P4CZ15454|P7149|P7401|P5782,P3299,1015.0
P4CZ15454,Shakya Shenyen|Shakyamitra,,shAkya bshes gnyen,ཤཱཀྱ་བཤེས་གཉེན།,,,,P4954|P7401,P0RK244|P7149|P7401|P5782|P3299,
P7401,Lobpön Pakpa Lha|Āryadeva|The one eyed,,slob dpon 'phags pa lha,སློབ་དཔོན་འཕགས་པ་ལྷ།,M,,,P4CZ15454|P4954,P0RK244|P4CZ15454|P7612|P3833|P4024|P0RK252|P5782|P3299,10065.0
P7612,Ta Yang|Aśvaghoṣa,,rta dbyangs,རྟ་དབྱངས།,M,,,P7401,P4CZ15088,10284.0
P4CZ15088,Lobpön Rolpé Dorjé|La li ta badz+ra,,slob dpon rol pa'i rdo rje,སློབ་དཔོན་རོལ་པའི་རྡོ་རྗེ།,,,,P47|P4CZ10568|P0RK1440|P7875|P7612|P4CZ15182|P3209|P1518|P0RK1318|P0RK1549|P0RK772|P5782,P8398|P8224|P0RK422|P8248|P5659|P8895|P00KG02663|P4CZ15232|P7609|P00EGS1017627|P4CZ15114,
P4CZ10568,Drubchen Dzeta Ri|Jetari,,grub chen dze ta ri,གྲུབ་ཆེན་ཛེ་ཏ་རི།,,,,P47|P0RK1259|P0RK35,P43|P8248|P4CZ15088|P0RK37,13623.0
P0RK1259,Yum Dewa Gyé Jé Ma,,yum bde ba rgyas byed ma,ཡུམ་བདེ་བ་རྒྱས་བྱེད་མ།,M,,,P0RK1258,P4CZ10568,528.0
P0RK1258,Pal Chok Dorjé Chö,,dpal mchog rdo rje chos,དཔལ་མཆོག་རྡོ་རྗེ་ཆོས།,M,,,,P0RK1259,527.0
P0RK35,Lobpön Nyingpö Shyab|Acarya garbhapada,,slob dpon snying po'i zhabs,སློབ་དཔོན་སྙིང་པོའི་ཞབས།,M,,,,P4CZ10568,1078.0
P43,Dorjé Denpa Chenpo,,rdo rje gdan pa chen po,རྡོ་རྗེ་གདན་པ་ཆེན་པོ།,M,,,P0RK1038|P4004|P4CZ10568|P0RK334|P44|P00KG02663|P0RK1246,P4004|P39|P8224|P0RK511|P3939|P0RK1081|P3203,6723.0
P0RK1038,Khandroma Sengé Dongpachen,,mkha' 'gro ma seng+ge'i gdong pa can,མཁའ་འགྲོ་མ་སེངྒེའི་གདོང་པ་ཅན།,M,,,,P43,335.0
P0RK334,,,ma ti gar bha,མ་ཏི་གར་བྷ།,M,,,P0RK333,P43,1070.0
P0RK333,Bi Ra Dipa,,bi ra Di pa,བི་ར་ཌི་པ།,M,,,P3292,P0RK334,1069.0
P3292,The tiger rider|Dombipa,,grub chen dom bhi he ru ka,གྲུབ་ཆེན་དོམ་བྷི་ཧེ་རུ་ཀ།,,,,P3293|P8335|P0RK1073|P0RK283,P0RK1530|P0RK333|P3291|P8895|P0RK1074|P0RK1032,5623.0
P3293,Virupa|Dakini-master,,grub chen birwa pa,གྲུབ་ཆེན་བིརྭ་པ།,M,,,P0RK572|P0RK245|P0RK1529|P0RK107,P0RK221|P3292|P2247|P4CZ15166|P0RK252|P3299,5624.0
P0RK572,Dorjé Namjom,,rdo rje rnam 'joms,རྡོ་རྗེ་རྣམ་འཇོམས།,M,,,,P3293,1225.0
P0RK1529,Jampal Shinjé Shé Marpo,,'jam dpal gshin rje gshed dmar po,འཇམ་དཔལ་གཤིན་རྗེ་གཤེད་དམར་པོ།,M,,,,P47|P3293,761.0
P0RK107,Jetsün Dorjé Dakmema,,rje btsun rdo rje bdag med ma,རྗེ་བཙུན་རྡོ་རྗེ་བདག་མེད་མ།,M,,,,P4CZ15180|P3293,365.0
P4CZ15180,Pal Damtsik Dorjé|Krsnasamayavajra,,dpal dam tshig rdo rje,དཔལ་དམ་ཚིག་རྡོ་རྗེ།,,,,P8222|P0RK365|P0RK107|P4CZ15179,P0RK365|P4CZ15179,
P8222,Jnana Siddhi|Jnanasiddhi,,dz+nyA na sid+dhi,ཛྙཱ་ན་སིདྡྷི།,M,,,,P4CZ15180,10923.0
P0RK365,Chimé Lo Zang,,'chi med blo bzang ,འཆི་མེད་བློ་བཟང་།,M,,,P4CZ15180,P4CZ15180|P5013,1090.0
P5013,Lochen Bai Rotsa Na|Vairocana,毗卢遮那译师,lo chen bai ro tsa na,ལོ་ཆེན་བཻ་རོ་ཙ་ན།,M,,,P0RK1276|P0RK365|P10718|P0RK998|P6450|P4956|P4CZ15624,P6525|P0RK367|P2JM106|P2JM107|P1238|P0RK471,7505.0
P0RK1276,,,a rya pa la,ཨ་རྱ་པ་ལ།,M,,,P8224,P5013,542.0
P8224,Dorjé Denpa Chungwa|Amoghavajra,,rdo rje gdan pa chung ba,རྡོ་རྗེ་གདན་པ་ཆུང་བ།,M,,,P4CZ10578|P4004|P8398|P0RK1039|P43|P0RK998|P4CZ15088|P3834|P0RK164,P0RK1276|P3285|P4CZ15290|P0RK951|P4CZ15245|P3731,6214.0
P4CZ10578,Zahor Gyi Khepa Tsünmochen|Devakaracandra,,za hor gyi mkhas pa btsun mo can,ཟ་ཧོར་གྱི་མཁས་པ་བཙུན་མོ་ཅན།,,,,P0RK245|P3816|P0RK164,P8224|P3458|P0RK271,
P3816,Rong Zom Pandita,,rong zom paN+Di ta,རོང་ཟོམ་པཎྜི་ཏ།,M,1042.0,1136.0,P4CZ10574|P4CZ10564|P2JM125|P2JM126|P2JM127|P0RK1217|P4CZ15287|P2JM128|P9982|P2JM129,P4257|P2JM130|P2JM131|P2JM132|P2JM133|P3814|P2JM134|P2JM135|P3827|P3JT12624|P2JM138|P2JM43|P4CZ10578|P5295|P3458|P9983|P1238,6194.0
P4CZ10574,Anandavajra,,shrI A nan+da badz+ra,ཤྲཱི་ཨཱ་ནནྡ་བཛྲ།,,,,,P3816,
P4CZ10564,Lotsawa Na Nam Do Lé Lama,,lo tsA ba sna nam rdo rle bla ma,ལོ་ཙཱ་བ་སྣ་ནམ་རྡོ་རླེ་བླ་མ།,,,,P0RK1004|P4956|P0RK1217,P0RK1006|P3816|P0RK1218,303.0
P0RK1004,,,bal po shI la many+dzu,བལ་པོ་ཤཱི་ལ་མཉྫུ།,M,,,P5011,P7787|P4CZ10564|P7695,302.0
P5011,Penchen Drimé Shenyen|Vimalamitra,,paN chen dri med bshes gnyen,པཎ་ཆེན་དྲི་མེད་བཤེས་གཉེན།,M,,,P3JT5600,P6525|P2JM5|P0RK1004|P3827|P2JM106|P2885,7503.0
P3JT5600,Yeshedo|Dza+nya na su tra,,ye shes mdo,ཡེ་ཤེས་མདོ།,,,,P10718,P5011,
P10718,Śrī siṃha|Shri singha,室利僧哈,slob dpon sh+rI seng+ha,སློབ་དཔོན་ཤྲཱི་སེངྷ།,M,,,P8398,P4956|P3JT5600|P5013,2312.0
P8398,Jampal Shenyen|Manjusrimitra,妙吉祥友,'jam dpal bshes gnyen,འཇམ་དཔལ་བཤེས་གཉེན།,M,,,P0RK998|P4CZ15088,P8224|P10718|P0RK1000,11112.0
P0RK998,Tulku Garab Dorjé|Prahevajra,化身极喜金刚,sprul sku dga' rab rdo rje,སྤྲུལ་སྐུ་དགའ་རབ་རྡོ་རྗེ།,M,,,P0RK77|P0RK575|P7149,P8398|P8224|P5013,1530.0
P7149,Lü Changchub|Nagabodhi,,klu'i byang chub,ཀླུའི་བྱང་ཆུབ།,M,,,P4CZ15454|P4954,P0RK244|P0RK998|P7148|P5782,9794.0
P7148,Khaché Yeshe Dorjé|Jnanavajra,,kha che ye shes rdo rje,ཁ་ཆེ་ཡེ་ཤེས་རྡོ་རྗེ།,M,,,P3373|P7149,P4CZ15564|P7166|P4266,9793.0
P3373,Zahor Gyalpo Rabsal Dawa,,za hor rgyal po rab gsal zla ba,ཟ་ཧོར་རྒྱལ་པོ་རབ་གསལ་ཟླ་བ།,M,,,,P3374|P3361|P0RK420|P0RK620|P7148|P8209|P0RK619,5711.0
P3374,Drachen Dzin Zangpo,,sgra gcan 'dzin bzang po,སྒྲ་གཅན་འཛིན་བཟང་པོ།,M,,,P3373|P0RK951|P8209|P0RK629,P3375|P4CZ16751|P0RK1793|P7166,5712.0
P0RK951,Soma Shri,,so ma shrI,སོ་མ་ཤྲཱི།,M,,,P8224,P3374,1498.0
P8209,Lobpön Dzi Na Mi Tra|Jinamitra,,slob dpon dzi na mi tra,སློབ་དཔོན་ཛི་ན་མི་ཏྲ།,M,,,P3373|P0RK1730,P3374|P3214|P8183|P0RK1730|P0RK629|P4CZ16898,10908.0
P0RK1730,Sengé Dongchen|Simhamukha,,seng+ge'i gdong can,སེངྒེའི་གདོང་ཅན།,M,,,P4CZ16819|P8209,P8209,926.0
P4CZ16819,Lobpön Shakya Ö|Shakyaprabha,,slob dpon shAkya 'od,སློབ་དཔོན་ཤཱཀྱ་འོད།,,,,P4CZ15464|P3250|P0RK1197,P4956|P0RK1730,13627.0
P4CZ15464,Pandita Ku Ma Ra Kala Sha|Kumarkalasha,,paN+Di ta ku mA ra ka la sha,པཎྜི་ཏ་ཀུ་མཱ་ར་ཀ་ལ་ཤ།,,,,,P4CZ16819,
P3250,Lobpön Chö Kyi Shenyen|Dharmamitra,,slob dpon chos kyi bshes gnyen,སློབ་དཔོན་ཆོས་ཀྱི་བཤེས་གཉེན།,M,,,P3251,P4CZ16819|P3213,5578.0
P3251,Lobpön Chö Kyi Jungné,,slob dpon chos kyi 'byung gnas,སློབ་དཔོན་ཆོས་ཀྱི་འབྱུང་གནས།,M,,,P3252,P3250,5579.0
P3252,Lobpön Sadhu Pu Tra,,slob dpon sa dhu pu tra,སློབ་དཔོན་ས་དྷུ་པུ་ཏྲ།,M,,,P3253|P4CZ15101,P3251,5580.0
P3253,A nu pa ma rakshi ta,,,,M,,,P3239,P3252|P3217,5581.0
P3239,,,na len+dra pa,ན་ལེནྡྲ་པ།,M,,,P0RK1491|P3238,P3253|P3240|P4CZ15101|P3244,5566.0
P0RK1491,,,bo to a tsa rya,བོ་ཏོ་ཨ་ཙ་རྱ།,M,,,P3236,P3239,729.0
P3236,Tsi Lu Pandita,,tsi lu paN+Di ta,ཙི་ལུ་པཎྜི་ཏ།,M,,,,P0RK1491|P3237,5563.0
P3237,Pi Topa,,pi to pa,པི་ཏོ་པ།,M,,,P3236,P3238,5564.0
